# mean, investigation_time=50.0, checksum=263994461
lon,lat,PGA-0.1,PGA-0.02,SA(0.075)-0.1,SA(0.075)-0.02,SA(0.1)-0.1,SA(0.1)-0.02,SA(0.2)-0.1,SA(0.2)-0.02,SA(0.3)-0.1,SA(0.3)-0.02,SA(0.4)-0.1,SA(0.4)-0.02,SA(0.5)-0.1,SA(0.5)-0.02,SA(0.75)-0.1,SA(0.75)-0.02,SA(1.0)-0.1,SA(1.0)-0.02,SA(1.5)-0.1,SA(1.5)-0.02,SA(2.0)-0.1,SA(2.0)-0.02,SA(2.5)-0.1,SA(2.5)-0.02,SA(3.0)-0.1,SA(3.0)-0.02
171.76104,-43.89989,3.581565E-01,6.855004E-01,6.014612E-01,1.161873E+00,7.134259E-01,1.373677E+00,8.929821E-01,1.667076E+00,8.279089E-01,1.519451E+00,7.613931E-01,1.376687E+00,7.142091E-01,1.272258E+00,6.046076E-01,1.044496E+00,5.025968E-01,8.677683E-01,3.550578E-01,6.087166E-01,2.624025E-01,4.452831E-01,2.032355E-01,3.487674E-01,1.657911E-01,2.896371E-01
171.77349,-43.90002,3.590815E-01,6.867673E-01,6.033844E-01,1.164323E+00,7.156427E-01,1.376577E+00,8.949026E-01,1.670361E+00,8.288097E-01,1.521687E+00,7.617721E-01,1.377982E+00,7.142640E-01,1.273167E+00,6.040061E-01,1.044349E+00,5.018862E-01,8.671513E-01,3.543108E-01,6.076551E-01,2.618402E-01,4.443771E-01,2.027934E-01,3.479421E-01,1.654144E-01,2.888859E-01
171.78593,-43.90016,3.600682E-01,6.880119E-01,6.054065E-01,1.166727E+00,7.179795E-01,1.379442E+00,8.969743E-01,1.673704E+00,8.298380E-01,1.524046E+00,7.622557E-01,1.379418E+00,7.144080E-01,1.274201E+00,6.034465E-01,1.044329E+00,5.011990E-01,8.665894E-01,3.535735E-01,6.066163E-01,2.612825E-01,4.434848E-01,2.023535E-01,3.471230E-01,1.650387E-01,2.881376E-01
171.79838,-43.90029,3.611975E-01,6.897312E-01,6.076581E-01,1.169907E+00,7.205923E-01,1.383200E+00,8.993697E-01,1.677976E+00,8.311301E-01,1.527258E+00,7.629637E-01,1.381493E+00,7.147466E-01,1.275761E+00,6.030412E-01,1.044701E+00,5.006328E-01,8.663279E-01,3.529060E-01,6.057316E-01,2.607674E-01,4.426990E-01,2.019425E-01,3.463829E-01,1.646861E-01,2.874520E-01
171.81083,-43.90042,3.624930E-01,6.923022E-01,6.101856E-01,1.174442E+00,7.235324E-01,1.388498E+00,9.020715E-01,1.683906E+00,8.327196E-01,1.532097E+00,7.639236E-01,1.384773E+00,7.152962E-01,1.278335E+00,6.027670E-01,1.045736E+00,5.001561E-01,8.665403E-01,3.522891E-01,6.050705E-01,2.602804E-01,4.420540E-01,2.015490E-01,3.457440E-01,1.643468E-01,2.868433E-01
171.82328,-43.90055,3.639300E-01,6.954407E-01,6.129489E-01,1.179907E+00,7.267458E-01,1.394852E+00,9.050569E-01,1.690947E+00,8.345605E-01,1.537879E+00,7.650942E-01,1.388803E+00,7.160218E-01,1.281525E+00,6.026065E-01,1.047165E+00,4.997335E-01,8.670369E-01,3.517122E-01,6.045423E-01,2.598155E-01,4.414937E-01,2.011687E-01,3.451675E-01,1.640176E-01,2.862819E-01
171.83573,-43.90068,3.654506E-01,6.986607E-01,6.158534E-01,1.185495E+00,7.301167E-01,1.401302E+00,9.082344E-01,1.698239E+00,8.365762E-01,1.543913E+00,7.664076E-01,1.393080E+00,7.168427E-01,1.284881E+00,6.023111E-01,1.048336E+00,4.990871E-01,8.671865E-01,3.510049E-01,6.038114E-01,2.592638E-01,4.407950E-01,2.007199E-01,3.444815E-01,1.636293E-01,2.856277E-01
171.84818,-43.90080,3.669958E-01,7.015083E-01,6.187994E-01,1.190573E+00,7.335348E-01,1.406984E+00,9.114861E-01,1.705032E+00,8.386698E-01,1.549583E+00,7.677885E-01,1.397503E+00,7.177178E-01,1.288239E+00,6.020335E-01,1.049401E+00,4.984500E-01,8.672568E-01,3.502992E-01,6.030335E-01,2.587123E-01,4.400559E-01,2.002702E-01,3.437610E-01,1.632397E-01,2.849440E-01
171.86063,-43.90093,3.685257E-01,7.038015E-01,6.217176E-01,1.194796E+00,7.369208E-01,1.411740E+00,9.147283E-01,1.710886E+00,8.407761E-01,1.554515E+00,7.691987E-01,1.401601E+00,7.186512E-01,1.291324E+00,6.020201E-01,1.050715E+00,4.981345E-01,8.676974E-01,3.497839E-01,6.024797E-01,2.582865E-01,4.394662E-01,1.999071E-01,3.431563E-01,1.629309E-01,2.843611E-01
171.87308,-43.90105,3.700632E-01,7.057815E-01,6.246452E-01,1.198487E+00,7.403191E-01,1.415914E+00,9.180048E-01,1.716201E+00,8.429269E-01,1.559077E+00,7.706431E-01,1.405567E+00,7.195808E-01,1.294206E+00,6.017751E-01,1.051478E+00,4.975262E-01,8.675672E-01,3.490955E-01,6.016093E-01,2.577473E-01,4.386551E-01,1.994202E-01,3.423744E-01,1.625485E-01,2.836311E-01
171.88553,-43.90117,3.716494E-01,7.077054E-01,6.276506E-01,1.202001E+00,7.438071E-01,1.420007E+00,9.213975E-01,1.721498E+00,8.451886E-01,1.563654E+00,7.721804E-01,1.409573E+00,7.205875E-01,1.297147E+00,6.015675E-01,1.052269E+00,4.969419E-01,8.674619E-01,3.484159E-01,6.007461E-01,2.572123E-01,4.378477E-01,1.989355E-01,3.415912E-01,1.621665E-01,2.828982E-01
